名称,地址,经度,纬度,电话,类型,高德POI ID,所在省,所在市,所在区
南京大学(鼓楼校区)食堂,汉口路22号南京大学鼓楼校区南园(近广州路),118.781022,32.051694,17368712592,餐饮服务;中餐厅;中餐厅,B0FFFPXK9K,江苏省,南京市,鼓楼区
南京大学鼓楼校区第二学生餐厅,汉口路22号南京大学鼓楼校区交响乐团附近,118.781121,32.051500,[],餐饮服务;中餐厅;中餐厅,B0FFFX2BQ7,江苏省,南京市,鼓楼区
南芳园风味美食苑,汉口路22号南京大学鼓楼校区南芳苑3层,118.780808,32.051371,025-83594446,餐饮服务;中餐厅;中餐厅,B0J64Z8O3J,江苏省,南京市,鼓楼区
秦二爷的椒麻鱼,中山路239号中山商务楼(小粉桥二八巷),118.783288,32.052223,[],餐饮服务;中餐厅;中餐厅,B0L2VC7TBV,江苏省,南京市,鼓楼区
鱼籽村秘制拌饭(南大店),湖南路街道广州路16号301商铺,118.781943,32.050311,18363188887,餐饮服务;中餐厅;中餐厅,B0GKJ70CQZ,江苏省,南京市,鼓楼区
茉沏(广州路店),广州路20101号(珠江路地铁站出入口步行260米),118.781506,32.050239,15051864438,餐饮服务;休闲餐饮场所;休闲餐饮场所,B0HGX90FM8,江苏省,南京市,鼓楼区
双黄蛋煎饼,南京大学鼓楼校区南园网球场西门东50米,118.781453,32.050231,13701461251,餐饮服务;餐饮相关场所;餐饮相关,B0I1GU0HMX,江苏省,南京市,鼓楼区
小粉桥猪蹄(小粉桥店),珠江路地铁1号出口巷里小粉桥3号,118.783215,32.051189,18761688309,餐饮服务;餐饮相关场所;餐饮相关,B0FFF90YYJ,江苏省,南京市,鼓楼区
绝味鸭脖(南京广州路店),广州路22-3号(珠江路地铁站出入口步行300米),118.781133,32.050193,15895982245,餐饮服务;餐饮相关场所;餐饮相关,B001911LDB,江苏省,南京市,鼓楼区
潘老板炸鸡(广州路店),广州路20-5号(珠江路地铁站出入口步行300米),118.781099,32.050190,15951988989;15996456786,餐饮服务;中餐厅;中餐厅,B0FFGG3VFJ,江苏省,南京市,鼓楼区
老南京大三元特色传统点心,广州路22号(珠江路地铁站出入口步行300米),118.781018,32.050189,13951739288,餐饮服务;糕饼店;糕饼店,B0FFFSS77H,江苏省,南京市,鼓楼区
潼记腊汁肉夹馍,广州路16号(珠江路地铁站出入口步行190米),118.782184,32.050285,18652036520,餐饮服务;快餐厅;快餐厅,B0I2NMMB3N,江苏省,南京市,鼓楼区
蜜雪冰城(南京大学店),广州路14号501室(珠江路地铁站出入口步行190米),118.782262,32.050294,13931038944,餐饮服务;冷饮店;冷饮店,B0FFG6GVQY,江苏省,南京市,鼓楼区
糯雅芳粥(南京儿童医院店),广州路24-101店铺,118.780767,32.050200,17372240072,餐饮服务;快餐厅;快餐厅,B0K6PUZEEK,江苏省,南京市,鼓楼区
麦当劳(广州路店),广州路14号,118.782306,32.050308,4008517517,餐饮服务;快餐厅;麦当劳|餐饮服务;甜品店;甜品店,B00190BT0O,江苏省,南京市,鼓楼区
浩来了烧烤,中山路223-10号,118.783362,32.051219,13913891819,餐饮服务;中餐厅;特色/地方风味餐厅,B0LA2HIVDQ,江苏省,南京市,鼓楼区
太祖军粮·现烤牛肉干(金轮峰华天地店),湖南路街道中山路223号210室,118.783525,32.051575,[],餐饮服务;餐饮相关场所;餐饮相关,B0KRSCHLIZ,江苏省,南京市,鼓楼区
烟波渔港(吉兆营店),中山路239号烟波1989,118.783575,32.052252,17761701767,餐饮服务;餐饮相关场所;餐饮相关,B0H2MU4J2U,江苏省,南京市,鼓楼区
西安特色面食(小粉桥店),广州路小粉桥1-2号(珠江路地铁站出入口步行140米),118.783252,32.050914,13951678137;17705147554,餐饮服务;中餐厅;特色/地方风味餐厅,B0FFH20Z19,江苏省,南京市,鼓楼区
南湖大碗皮肚面,南京大学鼓楼校区南园东门南160米,118.783253,32.050898,[],餐饮服务;中餐厅;中餐厅,B0KRRPQNS9,江苏省,南京市,鼓楼区
筷尚客大食堂(广州路店),广州路12-7号(珠江路地铁站出入口步行150米),118.782625,32.050335,025-58363795;13601582099,餐饮服务;中餐厅;中餐厅,B0H0DH9Z9Q,江苏省,南京市,鼓楼区
香满溢馅饼水煎包,广州路24-6号(五台山地铁站1号口步行300米),118.780541,32.050145,15811308030,餐饮服务;餐饮相关场所;餐饮相关,B0LB95W4HH,江苏省,南京市,鼓楼区
港师傅·菠萝包(南京广州路店),广州路12-103牛满捞一层,118.782694,32.050345,18665241340,餐饮服务;快餐厅;快餐厅,B0JGBLC83W,江苏省,南京市,鼓楼区
鸡鸣汤包(广州路店),汉口路9号广州路24号401B,118.780330,32.050179,19941643597,餐饮服务;快餐厅;快餐厅,B0FFGG3G47,江苏省,南京市,鼓楼区
广和生大排档(金轮峰华天地店),金轮峰华天地(珠江路地铁站出入口步行130米),118.783712,32.051590,15380987276,餐饮服务;中餐厅;中餐厅,B0KUAL23FC,江苏省,南京市,鼓楼区
宜祺发餐饮会所美食城,金轮峰华天地(珠江路地铁站出入口步行140米),118.783725,32.051625,13814043276,餐饮服务;中餐厅;中餐厅,B0JDUDEGP3,江苏省,南京市,鼓楼区
炊湘忆·湖南下饭菜(鼓楼店),金轮峰华天地(珠江路地铁站出入口步行90米),118.783725,32.051475,[],餐饮服务;中餐厅;湖南菜(湘菜),B0LRCAF4AN,江苏省,南京市,鼓楼区
董家金牌锅贴(南京大学鼓楼校区店),广州路14-5号(珠江路地铁站出入口步行130米),118.782897,32.050357,17705181388,餐饮服务;中餐厅;中餐厅,B0FFI25D44,江苏省,南京市,鼓楼区
福佬优老南京鸭血粉丝,广州路12-4号(珠江路地铁站出入口步行120米),118.782925,32.050374,13951907916,餐饮服务;中餐厅;中餐厅,B0J3213QM8,江苏省,南京市,鼓楼区
新纪元大酒店,中山路251-1号,118.783350,32.053212,025-86812108;025-86812222,住宿服务;宾馆酒店;四星级宾馆|餐饮服务;餐饮相关场所;餐饮相关,B00190BBRV,江苏省,南京市,鼓楼区
年兴发茶冰厅,广州路12-301(珠江路地铁站出入口步行120米),118.782929,32.050366,025-83687877;025-83687977,餐饮服务;休闲餐饮场所;休闲餐饮场所,B0GKJSWCMX,江苏省,南京市,鼓楼区
李记老陕家油泼面(南京中山商务楼店),中山路239号中山商务楼F1层,118.783818,32.052342,[],餐饮服务;中餐厅;中餐厅,B0I0BOH8Q4,江苏省,南京市,鼓楼区
赣味记忆.辣么好.地道江西菜,广州路12号202室(珠江路地铁站1号口步行80米),118.782971,32.050368,18005177458,餐饮服务;中餐厅;中餐厅,B0K3LAYNJN,江苏省,南京市,鼓楼区
缘中缘私房菜馆(广州路店),广州路5号君临国际广场B幢3层,118.781814,32.049899,025-51860227,餐饮服务;中餐厅;中餐厅,B0FFF5W055,江苏省,南京市,鼓楼区
沙县小吃,中山路239号中山商务楼(小粉桥二八巷),118.783851,32.052487,15105167163,餐饮服务;快餐厅;快餐厅,B001909HB9,江苏省,南京市,鼓楼区
满江红餐厅(新纪元大酒店店),中山路251-1号新纪元大酒店1楼(近地铁大厦),118.782845,32.053761,025-86812222,餐饮服务;中餐厅;中餐厅,B0FFF90YYV,江苏省,南京市,鼓楼区
永和大王(广州路),广州路5-11号,118.781825,32.049838,025-83300464,餐饮服务;中餐厅;中餐厅,B00190CZQB,江苏省,南京市,鼓楼区
饭得饱中式快餐(小粉桥店),中山路239号(珠江路地铁站3号口步行120米),118.783860,32.052574,13605168478;15062281318,餐饮服务;中餐厅;中餐厅,B0LA1R9T21,江苏省,南京市,鼓楼区
金记隆江猪脚饭,南京君临国际B座(珠江路地铁站1号口步行260米),118.781933,32.049841,[],餐饮服务;中餐厅;中餐厅,B0LGRHBX0H,江苏省,南京市,鼓楼区
肯德基(珠江路地铁店),中山路221号负一层101至106室115至119室,118.783637,32.050772,025-85601286,餐饮服务;快餐厅;肯德基,B0GRKL62GL,江苏省,南京市,鼓楼区
裕美华甜点茶铺(儿童医院店),广州路与青岛路交叉口东120米,118.779515,32.050329,[],餐饮服务;冷饮店;冷饮店,B0LGRRDSGU,江苏省,南京市,鼓楼区
乡村基(龙世中心店),中山路221龙世中心B1层,118.783675,32.050775,[],餐饮服务;快餐厅;快餐厅,B0LDFUYB8S,江苏省,南京市,鼓楼区
肯悦咖啡(珠江路地铁店),中山路221-1号龙世中心,118.783675,32.050775,[],餐饮服务;咖啡厅;咖啡厅,B0L1CO86E2,江苏省,南京市,鼓楼区
库迪咖啡(珠江路地铁1号口店),湖南路街道龙世中心,118.783675,32.050775,18248792726,餐饮服务;咖啡厅;咖啡厅,B0KU7Z3PO8,江苏省,南京市,鼓楼区
库迪咖啡(汉口路店),汉口路47-1号,118.779367,32.053539,15150674755,餐饮服务;咖啡厅;咖啡厅,B0LDDLF2CI,江苏省,南京市,鼓楼区
CoCo都可(地铁商贸店),南京地铁1号线C31商铺,118.783569,32.050631,13337839615,餐饮服务;甜品店;甜品店,B0FFJGZLEE,江苏省,南京市,鼓楼区
元味餐厅(新纪元大酒店店),新纪元大酒店东2门旁(珠江路地铁站3号口步行160米),118.783869,32.052895,025-83322666,餐饮服务;中餐厅;江苏菜,B0G3VBAW3J,江苏省,南京市,鼓楼区
luckin coffee 瑞幸咖啡(江苏科技大厦店),广州路37号江苏科技大厦,118.780056,32.049929,4000100100,餐饮服务;休闲餐饮场所;休闲餐饮场所,B0KD5YO14Q,江苏省,南京市,鼓楼区
西安特色面馆(汉口路店),汉口路47号01幢一楼,118.779220,32.053475,18114808698,餐饮服务;中餐厅;中餐厅,B0FFKPZEWC,江苏省,南京市,鼓楼区
同广鸣港式烧腊(南京大学店),汉口路47-2号,118.779262,32.053522,13305154735,餐饮服务;中餐厅;中餐厅,B0K0S55TJO,江苏省,南京市,鼓楼区
回味鸭血粉丝汤(广州路店),广州路39号一层,118.779975,32.049930,19850569957,餐饮服务;中餐厅;中餐厅,B0KUSZYAPP,江苏省,南京市,鼓楼区
鲜道寿司(珠江路店),珠江路地铁站内靠近1号口处,118.783720,32.050637,025-83211026;17361912624,餐饮服务;外国餐厅;日本料理,B0FFGM54FO,江苏省,南京市,鼓楼区
美德宝黄焖鸡米饭(汉口路小区店),汉口路47-5临街,118.779114,32.053452,13801582427;18061781699,公司企业;公司;公司|餐饮服务;餐饮相关场所;餐饮相关,B0G1SK5KAQ,江苏省,南京市,鼓楼区
阿蛮菜煎饼卷饼(南京大学店),汉口路47号-6号,118.779041,32.053444,13770721516,餐饮服务;餐饮相关场所;餐饮相关,B0J1RPI3KN,江苏省,南京市,鼓楼区
同堂韩国料理(南大店),青岛路2-14号,118.778468,32.051751,13951612449,餐饮服务;外国餐厅;韩国料理,B001909XNX,江苏省,南京市,鼓楼区
PAPOO BEER&COFFEE,青岛路2-4号(五台山地铁站1号口步行210米),118.778547,32.051274,[],餐饮服务;咖啡厅;咖啡厅,B0L03CCKF3,江苏省,南京市,鼓楼区
人全到饭店(青岛路店),青岛路2-16号(五台山地铁站1号口步行310米),118.778427,32.052156,13382793768,餐饮服务;中餐厅;特色/地方风味餐厅,B001917Q1R,江苏省,南京市,鼓楼区
家天下菜煎饼(汉口路小区店),汉口路47号南京大学好又多超市旁边,118.778960,32.053435,[],餐饮服务;餐饮相关场所;餐饮相关,B0FFIKLUUA,江苏省,南京市,鼓楼区
